User,SID
01566S-WIN16-IR$,S-1-5-18
ANONYMOUS LOGON,S-1-5-7
IEUser,S-1-5-21-3461203602-4096304019-2269080069-1000
Administrator,S-1-5-21-308926384-506822093-3341789130-500
samir,S-1-5-21-308926384-506822093-3341789130-220106
02694W-WIN10$,S-1-5-21-308926384-506822093-3341789130-84104
Administrator,S-1-5-21-81107902-1099128984-1836738286-500
EXCHANGE$,S-1-5-21-2895268558-4179327395-2773671012-1108
IEUser,S-1-5-21-3583694148-1414552638-2922671848-1000
lgrove,S-1-5-21-308926384-506822093-3341789130-101606
a-jbrown,S-1-5-21-308926384-506822093-3341789130-1106
user01,S-1-5-21-1587066498-1489273250-1035260531-1106
Administrator,S-1-5-21-1587066498-1489273250-1035260531-500
Administrator,S-1-5-21-1587066498-1489273250-1035260531-500
sshd_server,S-1-5-21-3583694148-1414552638-2922671848-1002
LOCAL SERVICE,S-1-5-19
NETWORK SERVICE,S-1-5-20
admin01,S-1-5-21-1587066498-1489273250-1035260531-1108
