Date and Time,timestamp,Event ID,Account Name,Object Name,Object Type,Process Name,Computer Name,Channel,Original Event Log
2020-03-09T02:11:34.340693+04:00,1583705494.340693,4663,IEUser,\Device\HarddiskVolume1\Windows\System32\lsass.exe,Process,C:\Windows\System32\cscript.exe,MSEDGEWIN10,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>1</Version>
    <Level>0</Level>
    <Task>12802</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2020-03-08T22:11:34.340584Z"">
    </TimeCreated>
    <EventRecordID>314462</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""160"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>MSEDGEWIN10</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3461203602-4096304019-2269080069-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">MSEDGEWIN10</Data>
    <Data Name=""SubjectLogonId"">0x33392</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">Process</Data>
    <Data Name=""ObjectName"">\Device\HarddiskVolume1\Windows\System32\lsass.exe</Data>
    <Data Name=""HandleId"">0x558</Data>
    <Data Name=""AccessList"">%%4484 
				</Data>
    <Data Name=""AccessMask"">0x10</Data>
    <Data Name=""ProcessId"">0x1688</Data>
    <Data Name=""ProcessName"">C:\Windows\System32\cscript.exe</Data>
    <Data Name=""ResourceAttributes"">-</Data>
  </EventData>
</Event>"
2020-03-09T02:11:34.340693+04:00,1583705494.340693,4663,IEUser,\Device\HarddiskVolume1\Windows\System32\lsass.exe,Process,C:\Windows\System32\cscript.exe,MSEDGEWIN10,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>1</Version>
    <Level>0</Level>
    <Task>12802</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2020-03-08T22:11:34.340584Z"">
    </TimeCreated>
    <EventRecordID>314462</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""160"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>MSEDGEWIN10</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3461203602-4096304019-2269080069-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">MSEDGEWIN10</Data>
    <Data Name=""SubjectLogonId"">0x33392</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">Process</Data>
    <Data Name=""ObjectName"">\Device\HarddiskVolume1\Windows\System32\lsass.exe</Data>
    <Data Name=""HandleId"">0x558</Data>
    <Data Name=""AccessList"">%%4484 
				</Data>
    <Data Name=""AccessMask"">0x10</Data>
    <Data Name=""ProcessId"">0x1688</Data>
    <Data Name=""ProcessName"">C:\Windows\System32\cscript.exe</Data>
    <Data Name=""ResourceAttributes"">-</Data>
  </EventData>
</Event>"
2020-03-09T02:11:34.340693+04:00,1583705494.340693,4663,IEUser,\Device\HarddiskVolume1\Windows\System32\lsass.exe,Process,C:\Windows\System32\cscript.exe,MSEDGEWIN10,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>1</Version>
    <Level>0</Level>
    <Task>12802</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2020-03-08T22:11:34.340584Z"">
    </TimeCreated>
    <EventRecordID>314462</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""160"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>MSEDGEWIN10</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3461203602-4096304019-2269080069-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">MSEDGEWIN10</Data>
    <Data Name=""SubjectLogonId"">0x33392</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">Process</Data>
    <Data Name=""ObjectName"">\Device\HarddiskVolume1\Windows\System32\lsass.exe</Data>
    <Data Name=""HandleId"">0x558</Data>
    <Data Name=""AccessList"">%%4484 
				</Data>
    <Data Name=""AccessMask"">0x10</Data>
    <Data Name=""ProcessId"">0x1688</Data>
    <Data Name=""ProcessName"">C:\Windows\System32\cscript.exe</Data>
    <Data Name=""ResourceAttributes"">-</Data>
  </EventData>
</Event>"
1601-01-01T04:00:00+04:00,-11644473600.0,4663,IEUser,C:\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Login Data,File,C:\Users\Defau1t\wsus.exe,IEWIN7,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>0</Version>
    <Level>0</Level>
    <Task>12800</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2019-04-27T19:33:50.134293Z"">
    </TimeCreated>
    <EventRecordID>4991</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""44"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>IEWIN7</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3583694148-1414552638-2922671848-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">IEWIN7</Data>
    <Data Name=""SubjectLogonId"">0xffa8</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">File</Data>
    <Data Name=""ObjectName"">C:\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Login Data</Data>
    <Data Name=""HandleId"">0x50</Data>
    <Data Name=""AccessList"">%%4416 
				</Data>
    <Data Name=""AccessMask"">0x1</Data>
    <Data Name=""ProcessId"">0x134c</Data>
    <Data Name=""ProcessName"">C:\Users\Defau1t\wsus.exe</Data>
  </EventData>
</Event>"
2019-04-27T23:33:50.134293+04:00,1556393630.134293,4663,IEUser,C:\Users\IEUser\AppData\Roaming\Mozilla\Firefox\Profiles\kushu3sd.default\logins.json,File,C:\Users\Defau1t\wsus.exe,IEWIN7,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>0</Version>
    <Level>0</Level>
    <Task>12800</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2019-04-27T19:33:18.699755Z"">
    </TimeCreated>
    <EventRecordID>4990</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""56"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>IEWIN7</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3583694148-1414552638-2922671848-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">IEWIN7</Data>
    <Data Name=""SubjectLogonId"">0xffa8</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">File</Data>
    <Data Name=""ObjectName"">C:\Users\IEUser\AppData\Roaming\Mozilla\Firefox\Profiles\kushu3sd.default\logins.json</Data>
    <Data Name=""HandleId"">0x50</Data>
    <Data Name=""AccessList"">%%4416 
				</Data>
    <Data Name=""AccessMask"">0x1</Data>
    <Data Name=""ProcessId"">0x134c</Data>
    <Data Name=""ProcessName"">C:\Users\Defau1t\wsus.exe</Data>
  </EventData>
</Event>"
2019-04-27T23:33:18.699755+04:00,1556393598.699755,4663,IEUser,C:\Users\IEUser\AppData\Roaming\Mozilla\Firefox\Profiles\kushu3sd.default\key4.db,File,C:\Users\Defau1t\wsus.exe,IEWIN7,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>0</Version>
    <Level>0</Level>
    <Task>12800</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2019-04-27T19:33:05.308188Z"">
    </TimeCreated>
    <EventRecordID>4989</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""56"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>IEWIN7</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3583694148-1414552638-2922671848-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">IEWIN7</Data>
    <Data Name=""SubjectLogonId"">0xffa8</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">File</Data>
    <Data Name=""ObjectName"">C:\Users\IEUser\AppData\Roaming\Mozilla\Firefox\Profiles\kushu3sd.default\key4.db</Data>
    <Data Name=""HandleId"">0x50</Data>
    <Data Name=""AccessList"">%%4416 
				</Data>
    <Data Name=""AccessMask"">0x1</Data>
    <Data Name=""ProcessId"">0x134c</Data>
    <Data Name=""ProcessName"">C:\Users\Defau1t\wsus.exe</Data>
  </EventData>
</Event>"
2019-04-27T23:33:05.308188+04:00,1556393585.308188,4663,IEUser,C:\Users\IEUser\AppData\Roaming\Opera Software\Opera Stable\Login Data,File,C:\Users\Defau1t\wsus.exe,IEWIN7,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>0</Version>
    <Level>0</Level>
    <Task>12800</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2019-04-27T19:31:15.355063Z"">
    </TimeCreated>
    <EventRecordID>4988</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""68"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>IEWIN7</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3583694148-1414552638-2922671848-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">IEWIN7</Data>
    <Data Name=""SubjectLogonId"">0xffa8</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">File</Data>
    <Data Name=""ObjectName"">C:\Users\IEUser\AppData\Roaming\Opera Software\Opera Stable\Login Data</Data>
    <Data Name=""HandleId"">0x50</Data>
    <Data Name=""AccessList"">%%4416 
				</Data>
    <Data Name=""AccessMask"">0x1</Data>
    <Data Name=""ProcessId"">0x134c</Data>
    <Data Name=""ProcessName"">C:\Users\Defau1t\wsus.exe</Data>
  </EventData>
</Event>"
2020-03-09T02:11:34.340693+04:00,1583705494.340693,4663,IEUser,\Device\HarddiskVolume1\Windows\System32\lsass.exe,Process,C:\Windows\System32\cscript.exe,MSEDGEWIN10,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>1</Version>
    <Level>0</Level>
    <Task>12802</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2020-03-08T22:11:34.340584Z"">
    </TimeCreated>
    <EventRecordID>314462</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""160"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>MSEDGEWIN10</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3461203602-4096304019-2269080069-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">MSEDGEWIN10</Data>
    <Data Name=""SubjectLogonId"">0x33392</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">Process</Data>
    <Data Name=""ObjectName"">\Device\HarddiskVolume1\Windows\System32\lsass.exe</Data>
    <Data Name=""HandleId"">0x558</Data>
    <Data Name=""AccessList"">%%4484 
				</Data>
    <Data Name=""AccessMask"">0x10</Data>
    <Data Name=""ProcessId"">0x1688</Data>
    <Data Name=""ProcessName"">C:\Windows\System32\cscript.exe</Data>
    <Data Name=""ResourceAttributes"">-</Data>
  </EventData>
</Event>"
1601-01-01T04:00:00+04:00,-11644473600.0,4663,IEUser,C:\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Login Data,File,C:\Users\Defau1t\wsus.exe,IEWIN7,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>0</Version>
    <Level>0</Level>
    <Task>12800</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2019-04-27T19:33:50.134293Z"">
    </TimeCreated>
    <EventRecordID>4991</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""44"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>IEWIN7</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3583694148-1414552638-2922671848-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">IEWIN7</Data>
    <Data Name=""SubjectLogonId"">0xffa8</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">File</Data>
    <Data Name=""ObjectName"">C:\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Login Data</Data>
    <Data Name=""HandleId"">0x50</Data>
    <Data Name=""AccessList"">%%4416 
				</Data>
    <Data Name=""AccessMask"">0x1</Data>
    <Data Name=""ProcessId"">0x134c</Data>
    <Data Name=""ProcessName"">C:\Users\Defau1t\wsus.exe</Data>
  </EventData>
</Event>"
2019-04-27T23:33:50.134293+04:00,1556393630.134293,4663,IEUser,C:\Users\IEUser\AppData\Roaming\Mozilla\Firefox\Profiles\kushu3sd.default\logins.json,File,C:\Users\Defau1t\wsus.exe,IEWIN7,Security,"<?xml version=""1.0"" encoding=""utf-8""?>
<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""54849625-5478-4994-A5BA-3E3B0328C30D"">
    </Provider>
    <EventID>4663</EventID>
    <Version>0</Version>
    <Level>0</Level>
    <Task>12800</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8020000000000000</Keywords>
    <TimeCreated SystemTime=""2019-04-27T19:33:18.699755Z"">
    </TimeCreated>
    <EventRecordID>4990</EventRecordID>
    <Correlation>
    </Correlation>
    <Execution ProcessID=""4"" ThreadID=""56"">
    </Execution>
    <Channel>Security</Channel>
    <Computer>IEWIN7</Computer>
    <Security>
    </Security>
  </System>
  <EventData>
    <Data Name=""SubjectUserSid"">S-1-5-21-3583694148-1414552638-2922671848-1000</Data>
    <Data Name=""SubjectUserName"">IEUser</Data>
    <Data Name=""SubjectDomainName"">IEWIN7</Data>
    <Data Name=""SubjectLogonId"">0xffa8</Data>
    <Data Name=""ObjectServer"">Security</Data>
    <Data Name=""ObjectType"">File</Data>
    <Data Name=""ObjectName"">C:\Users\IEUser\AppData\Roaming\Mozilla\Firefox\Profiles\kushu3sd.default\logins.json</Data>
    <Data Name=""HandleId"">0x50</Data>
    <Data Name=""AccessList"">%%4416 
				</Data>
    <Data Name=""AccessMask"">0x1</Data>
    <Data Name=""ProcessId"">0x134c</Data>
    <Data Name=""ProcessName"">C:\Users\Defau1t\wsus.exe</Data>
  </EventData>
</Event>"
